symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url
ACU,Acme United Corporation. Common Stock,$31.19,0.00,0.00%,1964,111286107.00,United States,1988,Industrial Machinery/Components,Consumer Discretionary,/market-activity/stocks/acu
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$18.96,-0.09,-0.472%,19767,196481608.00,United States,2015,Finance/Investors Services,Finance,/market-activity/stocks/acv
ACVA,ACV Auctions Inc. Class A Common Stock,$15.58,0.11,0.711%,996581,2504605870.00,United States,2021,Business Services,Consumer Discretionary,/market-activity/stocks/acva
ACXP,Acurx Pharmaceuticals Inc. Common Stock,$1.87,-0.17,-8.333%,21579,24319589.00,United States,2021,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/acxp
ADAG,Adagene Inc. American Depositary Shares,$1.2048,-0.0252,-2.049%,1127,52110693.00,China,2021,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/adag
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$0.78,-0.02,-2.50%,705765,176414153.00,United Kingdom,2015,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/adap
ADBE,Adobe Inc. Common Stock,$525.06,12.63,2.465%,2308041,240845022000.00,United States,1986,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/adbe
ADC,Agree Realty Corporation Common Stock,$62.11,0.19,0.307%,526026,5979260820.00,United States,,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/adc
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,$16.85,-0.23,-1.347%,5093,,United States,,,,/market-activity/stocks/adc^a
ADCT,ADC Therapeutics SA Common Shares,$1.29,-0.09,-6.522%,291846,104028864.00,,2020,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/adct
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,$1.2861,0.0468,3.776%,27038,12307977.00,United States,,Engineering & Construction,Consumer Discretionary,/market-activity/stocks/add
ADEA,Adeia Inc. Common Stock,$9.79,0.03,0.307%,403051,1045115659.00,United States,2003,Semiconductors,Technology,/market-activity/stocks/adea
ADER,26 Capital Acquisition Corp. Class A Common Stock,$11.25,0.00,0.00%,9612,0.00,United States,2021,Blank Checks,Finance,/market-activity/stocks/ader
ADERW,26 Capital Acquisition Corp. Warrant,$0.1115,-0.0457,-29.071%,2683,0.00,United States,2021,Blank Checks,Finance,/market-activity/stocks/aderw
ADES,Advanced Emissions Solutions Inc. Common Stock,$1.88,0.09,5.028%,37257,61567193.00,United States,,Major Chemicals,Industrials,/market-activity/stocks/ades
ADEX,Adit EdTech Acquisition Corp. Common Stock,$10.62,0.00,0.00%,82,99482022.00,,2021,EDP Services,Technology,/market-activity/stocks/adex
ADI,Analog Devices Inc. Common Stock,$178.16,4.47,2.574%,4538650,88779614401.00,United States,,Semiconductors,Technology,/market-activity/stocks/adi
ADIL,Adial Pharmaceuticals Inc Common Stock,$3.43,0.04,1.18%,51436,4177675.00,United States,2018,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/adil
